Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.0088, 439, 
0.0076, 439, 
0.0066, 439, 
0.0059, 439, 
0.0057, 439, 
0.0059, 439, 
0.0056, 439, 
0.0056, 439, 
0.0055, 439, 
0.0057, 439, 
0.0056, 439, 
0.0055, 439, 
0.0054, 439, 
0.0055, 439, 
0.0054, 439, 
0.0055, 439, 
0.0055, 439, 
0.0055, 439, 
0.0055, 439, 
0.0123, 439, 
0.0056, 439, 
0.0055, 439, 
0.0055, 439, 
0.0055, 439, 
0.0054, 439, 
0.0054, 439, 
0.0055, 439, 
0.0055, 439, 
0.0054, 439, 
0.0054, 439, 
0.0056, 439, 
0.0055, 439, 


Size: a1000.txt, 
Tempo(ms), Swaps, 
0.1313, 6602, 
0.1168, 6602, 
0.1167, 6602, 
0.1165, 6602, 
0.116, 6602, 
0.1208, 6602, 
0.1219, 6602, 
0.1221, 6602, 
0.1159, 6602, 
0.1156, 6602, 
0.1157, 6602, 
0.1159, 6602, 
0.1216, 6602, 
0.1218, 6602, 
0.1152, 6602, 
0.1156, 6602, 
0.1153, 6602, 
0.1153, 6602, 
0.1215, 6602, 
0.1221, 6602, 
0.1218, 6602, 
0.1156, 6602, 
0.1159, 6602, 
0.1156, 6602, 
0.1159, 6602, 
0.1224, 6602, 
0.122, 6602, 
0.1158, 6602, 
0.1157, 6602, 
0.1152, 6602, 
0.1155, 6602, 
0.122, 6602, 


Size: a10000.txt, 
Tempo(ms), Swaps, 
1.5667, 86960, 
1.5636, 86960, 
1.5853, 86960, 
1.5588, 86960, 
1.5612, 86960, 
1.5659, 86960, 
1.5581, 86960, 
1.6064, 86960, 
1.5646, 86960, 
1.5594, 86960, 
1.566, 86960, 
1.5704, 86960, 
1.6167, 86960, 
1.5655, 86960, 
1.5618, 86960, 
1.5602, 86960, 
1.5818, 86960, 
1.5558, 86960, 
1.5569, 86960, 
1.5579, 86960, 
1.5649, 86960, 
1.5675, 86960, 
1.5673, 86960, 
1.5626, 86960, 
1.5726, 86960, 
1.5565, 86960, 
1.5536, 86960, 
1.5573, 86960, 
1.5668, 86960, 
1.558, 86960, 
1.567, 86960, 
1.5639, 86960, 


Size: a100000.txt, 
Tempo(ms), Swaps, 
18.8846, 935097, 
18.8255, 935097, 
18.8589, 935097, 
18.8711, 935097, 
18.8678, 935097, 
18.9238, 935097, 
18.8789, 935097, 
18.836, 935097, 
19.1915, 935097, 
18.891, 935097, 
