Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.0209, 473, 
0.0276, 541, 
0.0309, 392, 
0.0325, 488, 
0.0192, 435, 
0.0203, 491, 
0.0304, 420, 
0.0286, 493, 
0.029, 534, 
0.0297, 468, 


Size: a1000.txt, 
Tempo(ms), Swaps, 
0.2237, 6443, 
0.1974, 5966, 
0.2087, 7825, 
0.2118, 7740, 
0.2022, 6543, 
0.205, 7028, 
0.2009, 6374, 
0.202, 6961, 
0.2038, 6795, 
0.2115, 7778, 


Size: a10000.txt, 
Tempo(ms), Swaps, 
2.2726, 95391, 
2.0467, 78097, 
2.0318, 85797, 
2.0424, 85801, 
2.0516, 84914, 
2.0866, 94663, 
2.052, 82216, 
2.0984, 89588, 
2.0519, 86590, 
2.0479, 82772, 


Size: a100000.txt, 
Tempo(ms), Swaps, 
26.2689, 926094, 
27.5464, 1002243, 
27.3301, 981277, 
26.6692, 995495, 
27.8259, 1006406, 
28.2952, 1038898, 
26.8565, 1019937, 
27.1298, 983294, 
27.3921, 944765, 
26.9008, 1004631, 


Size: a1000000.txt, 
Tempo(ms), Swaps, 
483.494, 11135028, 
487.426, 10435285, 
464.362, 10342690, 
510.154, 11913719, 
464.895, 9747787, 
462.8, 9726138, 
463.311, 10115251, 
465.772, 10503337, 
469.335, 9034417, 
478.885, 11210288, 


Size: a1250000.txt, 
Tempo(ms), Swaps, 
655.833, 12501001, 
656.245, 11778064, 
659.359, 13257540, 
654.597, 12467061, 
649.103, 12176891, 
653.964, 12793471, 
647.634, 12171881, 
652.49, 12207623, 
649.636, 12080945, 
671.885, 12127582, 


Size: a15000.txt, 
Tempo(ms), Swaps, 
3.5589, 126416, 
3.4249, 141780, 
3.4676, 147640, 
3.3227, 125601, 
3.2919, 137258, 
3.2412, 126434, 
3.3155, 133276, 
3.1917, 120182, 
3.2645, 126114, 
3.44, 139976, 


Size: a1500000.txt, 
Tempo(ms), Swaps, 
888.915, 14502107, 
867.743, 14443841, 
864.348, 15530740, 
873.118, 15085366, 
867.548, 14989207, 
873.587, 17285363, 
869.703, 16132899, 
880.327, 14522961, 
849.532, 14103066, 
847.63, 13421233, 


Size: a200.txt, 
Tempo(ms), Swaps, 
0.0309, 1010, 
0.0294, 1052, 
0.0307, 1057, 
0.0295, 1193, 
0.0372, 1011, 
0.0287, 1051, 
0.0292, 899, 
0.0296, 1097, 
0.0306, 964, 
0.0297, 1262, 


Size: a2000.txt, 
Tempo(ms), Swaps, 
0.3704, 16359, 
0.3606, 14737, 
0.3594, 14533, 
0.3592, 14065, 
0.3613, 14691, 
0.3564, 14496, 
0.3762, 17706, 
0.3685, 15200, 
0.4617, 14267, 
0.3597, 14337, 


Size: a200000.txt, 
Tempo(ms), Swaps, 
58.585, 2019049, 
57.9863, 2025532, 
57.8282, 1968005, 
59.9071, 2163492, 
59.0292, 2201461, 
57.5318, 1896886, 
57.0684, 1809031, 
59.9047, 2145427, 
59.3819, 2042390, 
59.6141, 2195357, 


Size: a2000000.txt, 
Tempo(ms), Swaps, 
1367.93, 20204287, 
1376.7, 20535745, 
1379.3, 21810061, 
1357.63, 19138781, 
1375.94, 19370291, 
1380.09, 20403457, 
1383.08, 21365005, 
1403.22, 20983390, 
1379.58, 19810692, 
1351.83, 19378347, 


Size: a30000.txt, 
Tempo(ms), Swaps, 
6.9876, 269521, 
7.0305, 287536, 
6.937, 263821, 
6.7583, 252691, 
7.173, 303062, 
6.9814, 271290, 
7.0533, 292756, 
7.152, 296870, 
6.9027, 264270, 
6.9588, 275883, 


Size: a500.txt, 
Tempo(ms), Swaps, 
0.0805, 3396, 
0.0775, 2864, 
0.1116, 2632, 
0.0873, 3229, 
0.0802, 3121, 
0.0866, 2791, 
0.1142, 3240, 
0.0756, 2677, 
0.0813, 3436, 
0.0761, 2606, 


Size: a5000.txt, 
Tempo(ms), Swaps, 
1.0115, 45904, 
0.9735, 40875, 
1.0417, 52963, 
0.9892, 43688, 
0.969, 40742, 
0.977, 42324, 
0.9878, 41949, 
1.0058, 43640, 
0.9901, 42171, 
0.9921, 42676, 


Size: a50000.txt, 
Tempo(ms), Swaps, 
12.744, 533755, 
12.4466, 476456, 
12.4197, 480335, 
12.5149, 497475, 
13.1074, 497164, 
12.4635, 471089, 
12.4621, 499159, 
12.9955, 467327, 
12.3366, 453592, 
13.6748, 455510, 


Size: a500000.txt, 
Tempo(ms), Swaps, 
186.868, 5020013, 
178.96, 5053585, 
176.424, 4706488, 
180.66, 5415669, 
179.453, 5079131, 
175.836, 4684106, 
180.555, 4708729, 
179.565, 5341096, 
178.231, 5038604, 
177.21, 4869561, 


Size: a7500.txt, 
Tempo(ms), Swaps, 
1.51, 62962, 
1.4938, 63960, 
1.5009, 64681, 
1.4952, 61196, 
1.4872, 61336, 
1.5093, 64256, 
1.4896, 61388, 
1.4988, 63152, 
1.5522, 70689, 
1.5152, 63618, 


Size: a75000.txt, 
Tempo(ms), Swaps, 
19.3762, 700696, 
19.1328, 703661, 
19.7734, 779993, 
19.793, 748020, 
19.7297, 786965, 
19.3966, 741236, 
19.3396, 731803, 
19.0269, 684848, 
19.4906, 768372, 
19.2087, 715065, 


Size: a750000.txt, 
Tempo(ms), Swaps, 
314.45, 8527289, 
308.824, 7457928, 
317.975, 7739867, 
310.543, 7866530, 
307.119, 7069463, 
312.44, 8270829, 
312.338, 8127625, 
309.247, 7831555, 
334.645, 7695382, 
305.993, 7492212, 


Dataset: Ordenados, 
Size: o100.txt, 
Tempo(ms), Swaps, 
0.0115, 386, 
0.0105, 319, 
0.0107, 359, 
0.0109, 357, 
0.0109, 350, 
0.01, 331, 
0.0105, 358, 
0.0099, 357, 
0.0103, 346, 
0.0112, 375, 


Size: o1000.txt, 
Tempo(ms), Swaps, 
0.1194, 5474, 
0.1238, 5698, 
0.1174, 5284, 
0.1397, 7329, 
0.1297, 5831, 
0.1254, 5120, 
0.1234, 5815, 
0.1208, 5632, 
0.1228, 5609, 
0.1239, 5790, 


Size: o10000.txt, 
Tempo(ms), Swaps, 
1.4837, 74683, 
1.4795, 73212, 
1.4716, 74318, 
1.544, 83230, 
1.4837, 74024, 
1.4813, 74824, 
1.5425, 80898, 
1.5307, 81641, 
1.5023, 76653, 
1.5419, 85407, 


Size: o100000.txt, 
Tempo(ms), Swaps, 
19.8775, 785898, 
20.0883, 793309, 
20.0541, 815049, 
19.9723, 792044, 
20.2047, 818385, 
20.1162, 815800, 
20.1808, 807309, 
20.009, 773821, 
20.3959, 831537, 
20.5451, 801605, 


Size: o1000000.txt, 
Tempo(ms), Swaps, 
433.887, 6484681, 
446.563, 6398436, 
439.68, 6471942, 
473.432, 6368529, 
489.079, 6526838, 
593.624, 6412743, 
479.461, 6401587, 
471.332, 6469624, 
454.483, 6455953, 
473.823, 6389945, 


Size: o1250000.txt, 
Tempo(ms), Swaps, 
687.853, 7785115, 
647.595, 7763759, 
648.002, 7679424, 
636.883, 7758976, 
651.456, 7773908, 
679.285, 7838997, 
647.342, 7813632, 
647.582, 7835384, 
645.339, 7712246, 
639.684, 7794288, 


Size: o15000.txt, 
Tempo(ms), Swaps, 
2.3821, 118238, 
2.3372, 117013, 
2.4303, 119119, 
2.3903, 113730, 
2.4392, 115028, 
2.4207, 117518, 
2.3825, 114637, 
2.4065, 113868, 
2.3881, 115929, 
2.4584, 116625, 


Size: o1500000.txt, 
Tempo(ms), Swaps, 
869.374, 9103090, 
886.425, 9113826, 
889.92, 9027903, 
882.213, 9036843, 
875.438, 9067807, 
883.187, 9224433, 
879.145, 9010326, 
856.752, 9264682, 
885.92, 9049346, 
881, 9082397, 


Size: o200.txt, 
Tempo(ms), Swaps, 
0.0224, 798, 
0.0223, 880, 
0.0225, 921, 
0.0215, 792, 
0.022, 805, 
0.0234, 980, 
0.0229, 818, 
0.0216, 834, 
0.0229, 968, 
0.0222, 925, 


Size: o2000.txt, 
Tempo(ms), Swaps, 
0.2553, 10944, 
0.2641, 13071, 
0.2641, 12168, 
0.2588, 13419, 
0.2714, 13325, 
0.2722, 14175, 
0.2598, 12045, 
0.2664, 13326, 
0.2605, 12231, 
0.276, 14030, 


Size: o200000.txt, 
Tempo(ms), Swaps, 
45.3445, 1538644, 
45.7651, 1534244, 
45.8975, 1513590, 
45.2405, 1504719, 
45.6674, 1570908, 
45.8972, 1502665, 
45.6017, 1513858, 
45.7904, 1537305, 
45.5257, 1506693, 
45.6439, 1482200, 


Size: o2000000.txt, 
Tempo(ms), Swaps, 
1458.28, 11723197, 
1464.59, 11725630, 
1434.59, 11841536, 
1463.45, 11640977, 
1453.27, 11580016, 
1459.02, 11658794, 
1454.46, 11630958, 
1461.59, 11666904, 
1421.59, 11688986, 
1458.88, 11655736, 


Size: o30000.txt, 
Tempo(ms), Swaps, 
5.4739, 224481, 
5.6354, 246054, 
5.1867, 236180, 
5.189, 249135, 
5.2407, 243061, 
5.2629, 256721, 
5.1667, 244766, 
5.1406, 242552, 
5.2123, 249917, 
5.1697, 240074, 


Size: o500.txt, 
Tempo(ms), Swaps, 
0.0657, 2603, 
0.0601, 2830, 
0.0581, 2427, 
0.0572, 2443, 
0.0574, 2321, 
0.0565, 2484, 
0.0581, 2524, 
0.063, 2302, 
0.0592, 2806, 
0.0635, 2366, 


Size: o5000.txt, 
Tempo(ms), Swaps, 
0.71, 36783, 
0.7135, 37651, 
0.6893, 33767, 
0.6903, 34551, 
0.6853, 33703, 
0.707, 36192, 
0.6866, 33055, 
0.7064, 36553, 
0.6856, 34023, 
0.7425, 40287, 


Size: o50000.txt, 
Tempo(ms), Swaps, 
9.1787, 407925, 
9.2072, 412393, 
9.1994, 395506, 
9.3432, 397100, 
9.5168, 427101, 
9.2796, 406945, 
9.327, 400663, 
9.332, 418904, 
9.3804, 423628, 
9.1546, 400836, 


Size: o500000.txt, 
Tempo(ms), Swaps, 
154.496, 3443259, 
153.078, 3447474, 
153.583, 3447201, 
155.498, 3478299, 
154.013, 3468526, 
151.317, 3444128, 
161.986, 3432360, 
155.232, 3551640, 
153.166, 3514167, 
154.632, 3379351, 


Size: o7500.txt, 
Tempo(ms), Swaps, 
1.1069, 56987, 
