Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.0114, 456, 
0.0268, 456, 
0.0092, 456, 
0.0085, 456, 
0.0083, 456, 
0.0084, 456, 
0.0083, 456, 
0.0082, 456, 
0.0081, 456, 
0.0081, 456, 
0.008, 456, 
0.0082, 456, 
0.0079, 456, 
0.008, 456, 
0.0082, 456, 
0.0079, 456, 
0.0079, 456, 
0.008, 456, 
0.008, 456, 
0.0079, 456, 
0.008, 456, 
0.0083, 456, 
0.0081, 456, 
0.0079, 456, 
0.008, 456, 
0.008, 456, 
0.008, 456, 
0.008, 456, 
0.0081, 456, 
0.008, 456, 
0.0081, 456, 
0.0082, 456, 


Size: a1000.txt, 
Tempo(ms), Swaps, 
0.1431, 6623, 
0.143, 6623, 
0.1423, 6623, 
0.1434, 6623, 
0.1441, 6623, 
0.1432, 6623, 
0.1424, 6623, 
0.142, 6623, 
0.1351, 6623, 
0.1355, 6623, 
0.1357, 6623, 
0.132, 6623, 
0.1321, 6623, 
0.1383, 6623, 
0.1495, 6623, 
0.1346, 6623, 
0.1282, 6623, 
0.1403, 6623, 
0.1238, 6623, 
0.1252, 6623, 
0.1309, 6623, 
0.1277, 6623, 
0.1278, 6623, 
0.1281, 6623, 
0.1218, 6623, 
0.1218, 6623, 
0.1217, 6623, 
0.1217, 6623, 
0.1279, 6623, 
0.1275, 6623, 
0.1282, 6623, 
0.1219, 6623, 


Size: a10000.txt, 
Tempo(ms), Swaps, 
1.6082, 89600, 
1.7313, 89600, 
1.6381, 89600, 
1.6189, 89600, 
1.607, 89600, 
1.6065, 89600, 
1.6006, 89600, 
1.6055, 89600, 
1.6035, 89600, 
1.6008, 89600, 
1.619, 89600, 
1.6352, 89600, 
1.6064, 89600, 
1.6011, 89600, 
1.5989, 89600, 
1.6026, 89600, 
1.6099, 89600, 
1.6047, 89600, 
1.6371, 89600, 
1.6024, 89600, 
1.6543, 89600, 
1.6044, 89600, 
1.5975, 89600, 
1.6017, 89600, 
1.6407, 89600, 
1.6403, 89600, 
1.636, 89600, 
1.6409, 89600, 
1.6452, 89600, 
1.6379, 89600, 
1.6531, 89600, 
1.6416, 89600, 


Size: a100000.txt, 
Tempo(ms), Swaps, 
20.0775, 963389, 
20.082, 963389, 
20.3686, 963389, 
21.3588, 1164882, 
21.1783, 1164882, 
21.3148, 1164882, 
21.3268, 1164882, 
21.142, 1164882, 
21.201, 1164882, 
21.4242, 1164882, 
21.1076, 1164882, 
21.1897, 1164882, 
21.4367, 1164882, 
21.3219, 1164882, 
21.2222, 1164882, 
21.0773, 1164882, 
21.3465, 1164882, 
21.1856, 1164882, 
21.2016, 1164882, 
21.2749, 1164882, 
23.1067, 1164882, 
21.6976, 1164882, 
21.4402, 1164882, 
21.4383, 1164882, 
21.4616, 1164882, 
21.312, 1164882, 
21.3904, 1164882, 
21.1176, 1164882, 
21.1777, 1164882, 
21.7484, 1164882, 
21.1619, 1164882, 
21.2123, 1164882, 


Size: a1000000.txt, 
Tempo(ms), Swaps, 
393.635, 9418586, 
390.637, 9418586, 
391.213, 9507613, 
389.605, 9507613, 
397.097, 10547251, 
397.292, 10547251, 
394.159, 9990362, 
394.594, 9990362, 
390.265, 9365082, 
389.079, 9365082, 
402.818, 10890834, 
407.628, 10890834, 
397.356, 10224673, 
399.757, 10224673, 
397.506, 10142540, 
404.1, 10142540, 
397.789, 10235779, 
391.801, 9459589, 
388.708, 9459589, 
391.072, 9886032, 
393.31, 9886032, 
402.125, 9794325, 
405.21, 9794325, 
400.273, 9620304, 
412.56, 9620304, 
390.705, 9953961, 
398.577, 9953961, 
397.422, 9968894, 
397.545, 9968894, 
403.485, 9797246, 
393.444, 9797246, 
390.435, 9228999, 


Size: a1250000.txt, 
Tempo(ms), Swaps, 
561.643, 12992400, 
566.034, 12992400, 
563.683, 12106749, 
578.853, 12532444, 
565.31, 12532444, 
560.968, 11680526, 
566.46, 12937787, 
565.341, 12344608, 
561.235, 12344608, 
560.528, 12643280, 
562.686, 12030729, 
585.091, 12786278, 
564.763, 12786278, 
556.01, 11716636, 
556.757, 11643910, 
555.583, 11643910, 
572.735, 13050233, 
572.452, 12454322, 
568.61, 12047569, 
570.515, 12047569, 
563.169, 12908360, 
569.462, 12850325, 
576.45, 11517777, 
551.752, 11517777, 
566.857, 12970911, 
569.761, 13644901, 
560.163, 13046302, 
562.329, 13046302, 
557.134, 11732560, 
560.303, 12527222, 
571.739, 12527222, 
563.531, 13197095, 


Size: a15000.txt, 
Tempo(ms), Swaps, 
2.6262, 162188, 
2.6269, 162188, 
2.7758, 162188, 
2.6276, 162188, 
2.7838, 162188, 
2.7063, 162188, 
2.6948, 162188, 
2.7231, 162188, 
2.6644, 162188, 
2.8221, 162188, 
2.6198, 162188, 
2.6239, 162188, 
2.7455, 162188, 
2.6462, 162188, 
2.6267, 162188, 
2.7045, 162188, 
2.6713, 162188, 
2.7395, 162188, 
2.6301, 162188, 
2.6239, 162188, 
2.7019, 162188, 
2.6999, 162188, 
2.8864, 162188, 
2.6341, 162188, 
2.62, 162188, 
2.6313, 162188, 
2.6305, 162188, 
2.7449, 162188, 
2.627, 162188, 
2.6856, 162188, 
2.7049, 162188, 
2.6265, 162188, 


Size: a1500000.txt, 
Tempo(ms), Swaps, 
753.278, 14672700, 
765.715, 16190363, 
759.519, 15416195, 
758.614, 15903843, 
765.357, 15511198, 
781.954, 15187175, 
750.514, 15461908, 
750.224, 15064132, 
752.094, 14511562, 
759.912, 14903135, 
751.665, 15118346, 
765.643, 17452278, 
732.986, 13155711, 
747.189, 14948823, 
760.566, 16325911, 
766.488, 16325911, 
763.608, 15280203, 
752.325, 15120490, 
742.769, 13786024, 
775.755, 18454704, 
754.789, 15548743, 
752.993, 15808217, 
751.106, 14844330, 
747.61, 14693999, 
756.016, 15073105, 
747.094, 14288188, 
770.865, 16313657, 
798.415, 15135145, 
779.077, 14695769, 
754.654, 13422296, 
755.765, 15350138, 
766.854, 15362708, 


Size: a200.txt, 
Tempo(ms), Swaps, 
0.0364, 948, 
0.0181, 948, 
0.0172, 948, 
0.0169, 948, 
0.0167, 948, 
0.0163, 948, 
0.0161, 948, 
0.0159, 948, 
0.016, 948, 
0.016, 948, 
0.0161, 948, 
0.0158, 948, 
0.0222, 948, 
0.0159, 948, 
0.0158, 948, 
0.0158, 948, 
0.0158, 948, 
0.0157, 948, 
0.0222, 948, 
0.0158, 948, 
0.0159, 948, 
0.0158, 948, 
0.0158, 948, 
0.0158, 948, 
0.0159, 948, 
0.0156, 948, 
0.0158, 948, 
0.0158, 948, 
0.0157, 948, 
0.0158, 948, 
0.0158, 948, 
0.0158, 948, 


Size: a2000.txt, 
Tempo(ms), Swaps, 
0.2724, 15134, 
0.3864, 15134, 
0.2726, 15134, 
0.272, 15134, 
0.273, 15134, 
0.2715, 15134, 
0.2726, 15134, 
0.2726, 15134, 
0.2724, 15134, 
0.2715, 15134, 
0.2667, 15134, 
0.3445, 15134, 
0.2722, 15134, 
0.2727, 15134, 
0.2715, 15134, 
0.2656, 15134, 
0.2731, 15134, 
0.2737, 15134, 
0.2732, 15134, 
1.0123, 15134, 
0.3268, 15134, 
0.3213, 15134, 
0.3294, 15134, 
0.329, 15134, 
0.3289, 15134, 
0.3297, 15134, 
0.3216, 15134, 
0.3268, 15134, 
0.3285, 15134, 
0.3282, 15134, 
0.3272, 15134, 
0.3211, 15134, 


Size: a200000.txt, 
Tempo(ms), Swaps, 
50.7683, 2073194, 
48.0601, 2073194, 
45.6794, 2073194, 
45.0582, 2073194, 
45.1529, 2073194, 
45.0069, 2073194, 
44.9859, 2073194, 
44.8445, 2073194, 
44.9279, 2073194, 
43.8913, 1842700, 
43.7521, 1842700, 
43.8458, 1842700, 
43.4998, 1842700, 
43.5972, 1842700, 
43.6719, 1842700, 
43.6716, 1842700, 
44.1099, 1842700, 
43.9589, 1842700, 
43.7595, 1842700, 
43.7762, 1842700, 
43.6596, 1842700, 
43.8804, 1842700, 
43.8046, 1842700, 
43.7709, 1842700, 
45.3935, 2015550, 
44.7756, 2015550, 
45.2351, 2015550, 
44.8779, 2015550, 
45.3302, 2015550, 
45.0397, 2015550, 
45.1418, 2015550, 
45.4421, 2015550, 


Size: a2000000.txt, 
Tempo(ms), Swaps, 
1250.28, 19128055, 
1223.05, 20171875, 
1232.49, 20380835, 
1212.37, 18664941, 
1217.62, 20535698, 
1220.16, 19847400, 
1219.09, 20729668, 
1209.09, 19253706, 
1223.65, 21367828, 
1220.79, 21234792, 
1211.92, 19537369, 
1208.67, 19504917, 
1227.56, 21119769, 
1209.5, 18866179, 
1221.83, 21190985, 
1216.94, 19026987, 
1207.99, 18894740, 
1216.92, 20002033, 
1241.71, 20454921, 
1234.44, 21317073, 
1209.75, 19285880, 
1212.37, 19406100, 
1212.34, 19082735, 
1209.94, 19152729, 
1219.34, 20029392, 
1216.13, 19648526, 
1202.82, 18615912, 
1207.4, 18574100, 
1215.8, 19815177, 
1237.09, 22605176, 
1211.75, 19642764, 
1211.11, 19152014, 


Size: a30000.txt, 
Tempo(ms), Swaps, 
5.0248, 247194, 
5.0192, 247194, 
4.9995, 247194, 
4.9503, 247194, 
5.0474, 247194, 
5.2152, 247194, 
5.0197, 247194, 
5.014, 247194, 
4.9544, 247194, 
5.0064, 247194, 
5.0216, 247194, 
4.9901, 247194, 
4.9489, 247194, 
5.1332, 247194, 
5.14, 247194, 
4.9576, 247194, 
5.1204, 247194, 
5.0382, 247194, 
5.0376, 247194, 
4.9418, 247194, 
4.9473, 247194, 
5.1516, 247194, 
4.9907, 247194, 
5.0304, 247194, 
4.9431, 247194, 
5.0292, 247194, 
5.0754, 247194, 
5.0311, 247194, 
4.9463, 247194, 
5.0596, 247194, 
4.9562, 247194, 
5.0568, 247194, 


Size: a500.txt, 
Tempo(ms), Swaps, 
0.0658, 3468, 
0.0591, 3468, 
0.0657, 3468, 
0.058, 3468, 
0.0584, 3468, 
0.0581, 3468, 
0.0585, 3468, 
0.0587, 3468, 
0.0583, 3468, 
0.064, 3468, 
0.0583, 3468, 
0.0682, 3468, 
0.1097, 3468, 
0.0579, 3468, 
0.0584, 3468, 
0.0582, 3468, 
0.0578, 3468, 
0.0574, 3468, 
0.0644, 3468, 
0.0578, 3468, 
0.0997, 3468, 
0.0577, 3468, 
0.0578, 3468, 
0.0575, 3468, 
0.0579, 3468, 
0.0576, 3468, 
0.0579, 3468, 
0.0687, 3468, 
0.0578, 3468, 
0.0649, 3468, 
0.0582, 3468, 
0.0578, 3468, 


Size: a5000.txt, 
Tempo(ms), Swaps, 
0.7851, 41553, 
0.752, 41553, 
0.7908, 41553, 
0.7493, 41553, 
0.7516, 41553, 
0.7516, 41553, 
0.8207, 41553, 
0.7516, 41553, 
0.7526, 41553, 
0.7477, 41553, 
0.7574, 41553, 
0.7532, 41553, 
0.7486, 41553, 
0.7511, 41553, 
0.7529, 41553, 
0.748, 41553, 
0.7522, 41553, 
0.7523, 41553, 
0.75, 41553, 
0.7534, 41553, 
0.7843, 41553, 
0.7483, 41553, 
0.7528, 41553, 
0.7509, 41553, 
0.7838, 41553, 
0.7545, 41553, 
0.7529, 41553, 
0.7511, 41553, 
0.7871, 41553, 
0.7515, 41553, 
0.7492, 41553, 
0.7537, 41553, 


Size: a50000.txt, 
Tempo(ms), Swaps, 
9.5275, 531365, 
9.6486, 531365, 
9.4316, 531365, 
9.8181, 531365, 
9.4641, 531365, 
9.4681, 531365, 
9.6116, 531365, 
9.5593, 531365, 
9.9608, 531365, 
9.6589, 531365, 
9.6076, 531365, 
9.5914, 531365, 
9.613, 531365, 
10.2653, 531365, 
9.483, 531365, 
9.6204, 531365, 
9.678, 531365, 
9.6892, 531365, 
